CampaignID,Producto,Descripcion,Canal,Creativo
1,Pack Vinos Premium,Selección de vinos premium para ocasiones especiales,Email,Estilo de vida sofisticado
1,Vinos Espumantes Celebración,Vinos espumantes para celebraciones y eventos,Social,Momentos de celebración
2,Canasta de Frutas Frescas,Surtido semanal de frutas frescas,Email,Vida saludable
2,Snacks Saludables para Niños,Snacks bajos en azúcar orientados a niños,In-App,Colores y diversión
3,Combo Carnes Familia,Paquete de carnes pensado para comidas familiares,Email,Cena en familia
3,Pack Parrillada BBQ,Selección de carnes premium para parrilladas,Social,Aire libre y parrilla
4,Selección de Pescados,Surtido de pescados y mariscos frescos,In-App,Frescura y calidad
4,Pack Pescado Omega,Productos ricos en Omega 3,Retail,Salud y bienestar
5,Caja Dulces Especiales,Surtido de dulces para ocasiones especiales,Email,Regalos y indulgencia
5,Caja Chocolates Premium,Selección de chocolates gourmet,Social,Placer y regalo
